GRN No.,Invoice No,DCNo,"Received 
Date",Item Code,Item Name,HSN Code,Batch No,"Expiry
Date",Manuf. Date,"Purchase 
UOM",Qty.,MRP,MRP I/E,Free Item,Vendor,GSTIN,"GRN 
Status",Store Name,"GST 
UOM"
SE/PH/GRN/26/6698,DEL-26-40425,,19/09/2026,VTP050,Vorth TP 50mg Tab,30049069,132909^VP2PC602,31/03/2028,01/04/2026,Tablet,700.0,28.102,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6699,MD/26-27/29976,,19/09/2026,AMNC05,Amnac 0.1%w/v  Eye Drops 5ml,30049069,122224^ASB1019,30/09/2027,01/10/2025,Bottle,30.0,198.7,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6699,MD/26-27/29976,,19/09/2026,CLT025,Calcit SG 0.25mcg Cap,30049029,139996^CYC1017,31/01/2028,01/02/2026,(1.00 x Capsules),300.0,12.73,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,AON001,Acton OR 1000mg Tab,30049069,141867^ART26062,30/06/2029,01/07/2026,Tablet,1980.0,6.6,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,DWT30,Dweet 3 Drops 30ml,30045039,136504^DWF26005,31/10/2027,01/05/2026,Bottle,66.0,84.42,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,P250,P-250mg/5ml Suspension 60ml,30049069,141869^PTS26161,31/07/2028,01/08/2026,Bottle,120.0,42.84,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,P250,P-250mg/5ml Suspension 60ml,30049069,141869^PTS26161,31/07/2028,01/08/2026,Bottle,120.0,42.84,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,TFDM30,Tufderm Cream 30gm,30043200,138189^TDC2603,30/04/2028,01/05/2026,Tube,60.0,158.62,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,TFDM30,Tufderm Cream 30gm,30043200,138189^TDC2603,30/04/2028,01/05/2026,Tube,20.0,158.62,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,ZCV015,Zincovit tab,21069099,141870^ZVT26151,30/11/2027,01/06/2026,Tablet,450.0,7.178,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,ZCV015,Zincovit tab,21069099,141868^ZVT26152,30/11/2027,01/06/2026,Tablet,1350.0,7.178,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6700,AP00001114,,19/09/2026,ZCV015,Zincovit tab,21069099,141868^ZVT26152,30/11/2027,01/06/2026,Tablet,3450.0,7.178,I,No,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6701,MD/26-27/29982,,19/09/2026,PSNT03,Posanat 300mg/16.7ml Inj,30049029,129088^1250253,30/11/2028,01/12/2025,Vial,1.0,7125.0,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6702,MD/26-27/29576,,19/09/2026,BPA050,Beparine 5000IU/5ml Inj,30019091,130555^AAE028AA,31/10/2028,01/11/2025,Vial,250.0,113.29,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6702,MD/26-27/29576,,19/09/2026,BPA050,Beparine 5000IU/5ml Inj,30019091,116927^AAE025AA,31/08/2028,01/09/2025,Vial,50.0,113.29,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6702,MD/26-27/29576,,19/09/2026,ENT040,Enoxatil 40mg/0.4ml inj,30049099,141284^ME2607022A,30/06/2028,01/07/2026,Syringe,200.0,481.66,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6702,MD/26-27/29576,,19/09/2026,G2K40,G2K 40mg injection,30049039,141866^PNDA6G23A,30/06/2028,01/07/2026,Vial,2400.0,54.24,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6703,MD/26-27/29570,,19/09/2026,BIP040,Bilypsa 4mg Tab(45's),30049099,132907^IB00806A,30/09/2028,01/04/2026,Bottle,9.0,2255.08,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6703,MD/26-27/29570,,19/09/2026,FUO500,FerUno 500 mg Inj,30049099,119562^250724B-1,30/06/2028,01/07/2025,Nos,10.0,3449.0,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6703,MD/26-27/29570,,19/09/2026,LVT010,Laviat 10mg Cap(10's),30049049,132992^LICF26B08,31/05/2028,01/06/2026,Bottle,1.0,1516.8,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6703,MD/26-27/29570,,19/09/2026,NYK305,Nykron Tab,30049099,141864^BEC1056,31/01/2028,01/02/2026,Tablet,10.0,2484.3,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6703,MD/26-27/29570,,19/09/2026,PED01,PepAir Device,5050788,131152^Z0312605,31/01/2031,01/02/2026,Nos,10.0,990.0,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6703,MD/26-27/29570,,19/09/2026,RCR4000,Renocrit 4000IU Inj PFS,30021500,141865^BB00129A,30/06/2028,01/03/2026,Syringe,3.0,1225.3,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6704,DL/GTI2627/9524,,19/09/2026,DPRS10,D-Pressin 10mcg Nasal Spray,30043990,125517^DEND6A1,31/03/2028,01/04/2026,Canister,4.0,1695.0,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6705,DL/GTI2627/9530,,19/09/2026,IFD100,Ifomid - M 1gm With Mesna Inj,30049049,138347^FMDF6B9,31/05/2028,01/06/2026,Vial,10.0,427.69,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6705,DL/GTI2627/9530,,19/09/2026,VAS001,Vasmed 1ml Inj,30042099,129626^VPIC6B4,29/02/2028,01/03/2026,Nos,100.0,334.0,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6706,GST-26-11179,,19/09/2026,OSTOE8,Osteo One 8mg/ml Inj (PFS),30043990,134683^260584,30/04/2028,01/05/2026,Syringe,1.0,19500.0,I,No,A.S. PHARMA PRIVATE LIMITED,07AAFCA5703N1ZK,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6707,DEL-26-40623,,19/09/2026,NSF003,Neosurf 3ml Inj,30049099,141862^26698A,30/06/2029,01/07/2026,Vial,1.0,6879.69,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6707,DEL-26-40623,,19/09/2026,NSF0005,Neosurf 5 ml Inj,30049099,141861^26701A,30/06/2029,01/07/2026,Vial,2.0,11466.15,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6711,291115138,,19/09/2026,VTMD16,Vertistar MD 16mg Tab,30049099,F65Z008,31/07/2028,01/06/2026,Tablet,240.0,12.2,I,No,MANKIND PHARMA LTD. (CFA -Delhi),07AAACM9401C1ZX,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6712,291115902,,19/09/2026,GLZ040,Glizid 40mg Tab,30043190,R35Z005,31/07/2029,01/08/2026,(1.00 x Tablet),250.0,3.749,I,No,MANKIND PHARMA LTD. (CFA -Delhi),07AAACM9401C1ZX,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6712,291115902,,19/09/2026,NFR150,Nuforce 150mg Tab,30049029,H45Z006,30/11/2028,01/06/2026,(1.00 x Tablet),300.0,12.95,I,No,MANKIND PHARMA LTD. (CFA -Delhi),07AAACM9401C1ZX,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6713,291115794,,19/09/2026,MXED05,Mahaflox Eye Drops 5ml,30042039,A1MVZ013,30/06/2028,01/07/2026,Bottle,75.0,119.25,I,No,MANKIND PHARMA LTD. (CFA -Delhi),07AAACM9401C1ZX,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6714,99670021,,19/09/2026,ONB020,Onebumin 20% 100ml Inj,30021290,A4C216AA,31/05/2028,04/06/2025,Bottle,80.0,9276.0,I,No,Takeda Biopharmaceuticals India Private Limited - CFA,06AAGCB2942K2ZM,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6723,DEL-26-40436,,19/09/2026,MTA0100,Metaspray Nasal Spray,30043200,6SA0467,30/04/2029,01/05/2026,Bottle,11.0,596.82,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6723,DEL-26-40436,,19/09/2026,TCN400,Ticocin 400mg Injection,30042099,BI260106A,31/03/2028,01/04/2026,Vial,494.0,3284.45,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6723,DEL-26-40436,,19/09/2026,TVDMR35,Trivedon MR 35mg Tab,30049099,6SB0463,31/05/2029,01/06/2026,Tablet,10.0,23.472,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6723,DEL-26-40436,,19/09/2026,TVDMR35,Trivedon MR 35mg Tab,30049099,6SB0463,31/05/2029,01/06/2026,Tablet,20.0,23.472,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,BPG020,Bioplegia Inj 20ml,30049079,CGIG6A2,30/06/2028,01/07/2026,Ampoule,35.0,243.75,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,BPG020,Bioplegia Inj 20ml,30049079,CGIK5A4,31/10/2027,01/11/2025,Ampoule,5.0,243.75,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,DSS010,D-Pressin 0.1mg Tab(10's),30043990,DETG6A2,30/06/2028,01/07/2026,Strips,30.0,336.56,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,HPGD05,Hepagard Granules 5gm,30049039,HGPH6A8,31/07/2028,01/08/2026,Sachet,180.0,234.0,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,KEZ001,Kezone-S 1gm Inj,30042019,CSDC5A3,28/02/2027,01/03/2025,Nos,20.0,402.19,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,KEZ002,Kezone-S 2gm Inj,30042019,CSDG5B4,30/06/2027,01/07/2025,Nos,20.0,675.0,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,OCR500,Oncofluor 500mg/10ml Inj,30049042,OFIH6B21,31/07/2028,01/08/2026,Ampoule,100.0,28.5,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,SUP1000,Sol-U-Pred 1000mg Inj,30043912,MPDD6F3,31/03/2028,01/04/2026,Vial,10.0,1410.0,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,SUP125,Sol-U-Pred 125mg Inj,30043912,MPDK5B7,31/10/2027,01/11/2025,Vial,80.0,406.88,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,SUP040,Sol-U-Pred 40mg Inj,30043912,MPDE6A2,30/04/2028,01/05/2026,Vial,200.0,84.38,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,SUP500,Sol-U-Pred 500mg Inj,30043912,MPDE6E4,30/04/2028,01/05/2026,Vial,10.0,703.13,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6724,DL/GTI2627/9531,,19/09/2026,UBN10,Uniblastin 10mg/10ml Inj,30049043,VBIG6A3,30/06/2028,01/07/2026,Vial,10.0,268.5,I,No,UNITED BIOTECH (P) LTD,07AAACU1839L1Z4,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6725,DEL-26-40420,,19/09/2026,MSP200,Misoprost 200mcg Tab,30049099,6GH0171,31/08/2027,01/03/2026,Tablet,320.0,20.3975,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Open,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6725,DEL-26-40420,,19/09/2026,MXK005,Moxicip KT Eye Drop,30042039,6A00102,31/03/2028,01/04/2026,Drop,30.0,198.18,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Open,PS/MN/20B/00 (PH MAIN STORE),
