GRN No.,Invoice No,DCNo,"Received 
Date",Item Code,Item Name,HSN Code,Batch No,"Expiry
Date",Manuf. Date,"Purchase 
UOM",Qty.,MRP,MRP I/E,Free Item,Vendor,GSTIN,"GRN 
Status",Store Name,"GST 
UOM"
SE/PH/GRN/26/6676,SB-26-57165,,19/09/2026,SFLX17,Safelax 17.1gm Sachet,30049039,134695^TPB26I01,31/10/2028,01/05/2026,Sachet,300.0,55.78,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6677,A002611,,19/09/2026,WAS300,Wasta plus Tab,30049099,131061^2605EBA103,30/04/2028,01/05/2026,Nos,100.0,103.031,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6678,A002613,,19/09/2026,LVS450,LivSource Powder 450gm,21061000,141831^SLLSV203,28/02/2028,01/09/2026,Jar,32.0,1615.0,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6679,A002612,,19/09/2026,REX060,Rexozin 60k Nano Shot,30045036,141832^L-26114,31/07/2028,01/08/2026,Nos,736.0,91.88,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6680,SB-26-57163,,19/09/2026,CLV15,Coloview 15ml Solution,30049039,134699^CVP26001,31/03/2028,01/04/2026,Bottle,20.0,59.05,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6680,SB-26-57163,,19/09/2026,MCN015,Mucopain 15gm Gel,30049099,132471^O26206,31/03/2029,01/04/2026,Tube,20.0,96.1,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6680,SB-26-57163,,19/09/2026,NOVO32,Novofine Needle 32G,90183290,136980^PS7H04X-3,31/07/2029,01/08/2024,Nos,900.0,17.13,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6681,SB-26-57278,,19/09/2026,PHM200,Prohance Mom SF 200gm Powder,18069090,141165^ZRD0188,31/07/2027,01/05/2026,Jar,8.0,415.5,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6682,SB-26-57216,,19/09/2026,RAR015,Rivamer 1.5mg Cap,30049099,141351^SIH1067A,31/05/2028,01/06/2026,(1.00 x Capsules),120.0,21.7,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6683,SB-26-57264,,19/09/2026,BICS05,Bifilac 0.5gm Sachet,30024910,141830^LLA26N04,31/05/2028,01/06/2026,Sachet,198.0,19.95,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
